book_id,title,title_without_series,image_url,book_url,num_pages,format,edition_information,publisher,publication_day,publication_year,publication_month,average_rating,ratings_count,description,authors,published,record_create_timestamp
46018,Spark Joy: An Illustrated Master Class on the Artof Organizing and Tidying Up,Write or Wrong: A Dark College Romance (Write to Love Book 1),https://dummyimage.com/1021x674,https://picsum.photos/530/766,131,Book,No information,fake publisher,2,1959,11,2.98,369596,fake description,25887,0,2024-05-05 02:14:21.213527
16683,A Blink of the Screen: Collected Shorter Fiction,The Crisis of Bad Preaching: Redeeming the Heart and Way of the Catholic Preacher,https://dummyimage.com/482x146,https://dummyimage.com/496x684,751,Book,No information,fake publisher,28,1978,1,3.33,400784,fake description,44575,7,2024-05-05 02:14:21.213527
47057,Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,Enter the Aardvark,https://dummyimage.com/761x434,https://dummyimage.com/52x148,730,Book,No information,fake publisher,28,2063,9,4.2,445902,fake description,84861,6,2024-05-05 02:14:21.214641
30321,Spark Joy: An Illustrated Master Class on the Artof Organizing and Tidying Up,Maksim (Akimov Bratva #1),https://placekitten.com/510/959,https://dummyimage.com/572x567,234,Book,No information,fake publisher,25,1970,5,1.72,771431,fake description,29717,8,2024-05-05 02:14:21.215234
30947,The East End,A Blink of the Screen: Collected Shorter Fiction,https://placekitten.com/170/215,https://placekitten.com/170/759,564,Book,No information,fake publisher,12,2069,8,2.8,238684,fake description,18650,5,2024-05-05 02:14:21.215234
40938,Clown in a Cornfield,The Mind Illuminated: A Complete Meditation Guide IntegratingBuddhist Wisdom and Brain Science,https://dummyimage.com/187x897,https://placekitten.com/841/328,938,Book,No information,fake publisher,5,2043,6,2.14,795701,fake description,93768,9,2024-05-05 02:14:21.215234
86943,His Gift: A Valentine's Romance Novella,The Bedroom Experiment(Hot Jocks #5.5),https://picsum.photos/246/195,https://dummyimage.com/521x279,262,Book,No information,fake publisher,7,2044,4,2.42,990267,fake description,19553,3,2024-05-05 02:14:21.216328
44050,His Gift: A Valentine's Romance Novella,Zaftig Dating Agency: Series Collection 4-,https://dummyimage.com/566x764,https://placekitten.com/552/185,529,Book,No information,fake publisher,16,1969,7,3.99,459853,fake description,39180,1,2024-05-05 02:14:21.217331
82868,A Blink of the Screen: Collected Shorter Fiction,The Favorite Daughter,https://placekitten.com/16/528,https://placekitten.com/858/807,890,Book,No information,fake publisher,9,2013,1,4.14,516968,fake description,72313,6,2024-05-05 02:14:21.218242
28300,House of Earth and Blood,A Wizard of Earthsea,https://dummyimage.com/626x745,https://placekitten.com/788/924,903,Book,No information,fake publisher,27,1990,5,3.76,440488,fake description,69859,7,2024-05-05 02:14:21.218242
